scientific_name,species_code,common_name
Iole finschii,finbul1,Finsch's Bulbul
Iole crypta,buvbul1,Buff-vented Bulbul
Hemixos cinereus,cinbul1,Cinereous Bulbul
Ixos malaccensis,strbul1,Streaked Bulbul
Ixos mcclellandii,moubul2,Mountain Bulbul
Microtarsus eutilotus,pubbul1,Puff-backed Bulbul
Microtarsus melanocephalos,blhbul1,Black-headed Bulbul
Rubigula erythropthalmos,spebul1,Spectacled Bulbul
Rubigula squamata,scbbul1,Scaly-breasted Bulbul
Rubigula flaviventris,blcbul2,Black-crested Bulbul
Pycnonotus simplex,crvbul1,Cream-vented Bulbul
Pycnonotus plumosus,olwbul1,Olive-winged Bulbul
Pycnonotus brunneus,reebul1,Red-eyed Bulbul
Pycnonotus finlaysoni,sttbul3,Stripe-throated Bulbul
Pycnonotus goiavier,yevbul1,Yellow-vented Bulbul
Phylloscopus inornatus,yebwar3,Yellow-browed Warbler
Phylloscopus coronatus,eacwar1,Eastern Crowned Warbler
Phylloscopus borealis,arcwar1,Arctic Warbler
Phylloscopus castaniceps,chcwar2,Chestnut-crowned Warbler
Abroscopus superciliaris,yebwar1,Yellow-bellied Warbler
Phyllergates cucullatus,moutai2,Mountain Tailorbird
Zosterops simplex,swiwhe1,Swinhoe's White-eye
Zosterops auriventer,humwhe1,Hume's White-eye
Mixornis gularis,sttbab1,Pin-striped Tit-Babbler
Cyanoderma chrysaeum,golbab1,Golden Babbler
Cyanoderma erythropterum,chwbab1,Chestnut-winged Babbler
Melanocichla lugubris,blalau1,Black Laughingthrush
Pomatorhinus bornensis,chbscb2,Sunda Scimitar-Babbler
Stachyris maculata,chrbab1,Chestnut-rumped Babbler
Stachyris nigriceps,gytbab1,Gray-throated Babbler
Stachyris leucotis,whnbab1,White-necked Babbler
Malacopteron affine,socbab1,Sooty-capped Babbler
Malacopteron magnirostre,moubab1,Moustached Babbler
Pellorneum nigrocapitatum,bkcbab1,Malayan Black-capped Babbler
Pellorneum malaccense,shtbab1,Short-tailed Babbler
Pellorneum tickelli,bubbab1,Buff-breasted Babbler
Pellorneum bicolor,ferbab1,Ferruginous Babbler
Malacocincla abbotti,abbbab1,Abbott's Babbler
Malacocincla sepiaria,horbab2,Horsfield's Babbler
Gypsophila brevicaudata,stwbab1,Streaked Wren-Babbler
Alcippe brunneicauda,broful1,Brown Fulvetta
Alcippe peracensis,mouful1,Mountain Fulvetta
Trochalopteron peninsulae,mallau1,Malayan Laughingthrush
Heterophasia picaoides,lotsib1,Long-tailed Sibia
Actinodura cyanouroptera,blwmin1,Blue-winged Minla
Leiothrix argentauris,siemes1,Silver-eared Mesia
Pterorhinus mitratus,chclau3,Chestnut-capped Laughingthrush
Sitta azurea,blunut1,Blue Nuthatch
Sitta frontalis,vefnut1,Velvet-fronted Nuthatch
Aplonis panayensis,asgsta1,Asian Glossy Starling
Agropsar sturninus,dausta1,Daurian Starling
Acridotheres tristis,commyn,Common Myna
Acridotheres javanicus,whvmyn,Javan Myna
